"company_name","average_growth_rate"
"PSO International","0.61111111111111111111"
"Quinta Communications","0.60913165266106442381"
"Internationale Filmproduktion Blackbird Dritte","0.60555555555555555556"
"Mirage Enterprises","0.60312715501797780494"
"Leverage Management","0.60000000000000000000"
"WCG Entertainment Productions","0.60000000000000000000"
"Donner/Shuler-Donner Productions","0.59841269841269841270"
"Mark Gordon Productions","0.59285714285714285715"
"Eclectic pictures","0.59090909090909090909"
"BBC Films","0.589294987962433588491538"
"Bandai Visual Company","0.58333333333333333334"
"Zanuck Company, The","0.58333333333333333333"
"Virgin Produced","0.58222222222222223333"
"Atlas Entertainment","0.58200054112554112554"
"Marc Platt Productions","0.57714903129657228685"
"Reliance Entertainment","0.57576173826173825638"
"IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG","0.57337550982573230348"
"Offspring Entertainment","0.57333031400966183575"
"Toei","0.57142857142857142857"
"Millar Gough Ink","0.57142857142857142857"
"Team Todd","0.56723809523809523810"
"Everest Entertainment","0.56349206349206347778"
"CiBy 2000","0.56349206349206347778"
"Inferno Distribution","0.56250000000000000000"
"Davis-Panzer Productions","0.56250000000000000000"
"Olympus Pictures","0.56250000000000000000"
"Magnolia Mae Films","0.55844155844155844156"
"Buckaroo Entertainment","0.555555555555555555556667"
"Moving Picture Company (MPC)","0.54886385560515884009"
"GK Films","0.54706420866569944602"
"Le Tax Shelter du Gouvernement Fu00e9du00e9ral de Belgique","0.54365714285714286667"
"Hyde Park Entertainment","0.54361904761904762000"
"Marvel Entertainment","0.54313593476473862813"
"Tig Productions","0.541470658970658970660000"
"Frontier Pictures","0.53846153846153846154"
"Franchise Pictures","0.536893920313435283146429"
"Cruel and Unusual Films","0.53243408578774431225"
"Industry Entertainment","0.52407407407407406667"
"Skydance Productions","0.52286906479283974825"
"Davis Entertainment","0.522181000633976553090645"
"Gramercy Pictures","0.52059643255295429209"
"Touchstone Pictures","0.517567162855010945405253"
"Amblin Entertainment","0.5132041655349478083489361702"
"David Brown Productions","0.51250000000000000000"
"Davis-Films","0.510258529349438440348182"
"Epsilon Motion Pictures","0.50832370419616589552"
"Mainichi Broadcasting System (MBS)","0.50000000000000000000"
"Junction Entertainment","0.50000000000000000000"
"Boll Kino Beteiligungs GmbH & Co. KG","0.50000000000000000000"
"Second Mate Productions","0.50000000000000000000"
"Asymmetrical Productions","0.50000000000000000000"
"Mpower Pictures","0.50000000000000000000"
"Infinity Features Entertainment","0.50000000000000000000"
"Alliance Films","0.49389980607627666177"
"Radar Pictures","0.49301753249121670461"
"Fortis Films","0.49166666666666666667"
"Digital Image Associates","0.49113712374581939800"
"Constantin Film Produktion","0.49061987126543047893"
"Film i Vu00e4st","0.48725782534813188818"
"Dentsu","0.48362786465340645124"
"CJ Entertainment","0.48333333333333333333"
"Sony Pictures","0.47943833943833944120"
"FilmEngine","0.47692307692307692308"
"Syncopy","0.47335371085371085371"
"Norddeutscher Rundfunk (NDR)","0.47221199852778800147"
"Big Screen Productions","0.47117394216175864400"
"Scott Free Productions","0.470195951062636641153846"
"Newmarket Capital Group","0.46933404940923737440"
"Morgan Creek Productions","0.465482134929152768150000"
"Free State Pictures","0.46529649595687331536"
"Amen Ra Films","0.46481481481481481482"
"Deep River Productions","0.46428571428571428572"
"Canal Plus","0.46246723674953548818"
"Mikona Productions GmbH & Co. KG","0.45983739837398373984"
"Revolution Sun Studios","0.45888196365275472922"
"2929 Productions","0.45704269293924466386"
"TC Productions","0.45689655172413793104"
"Mandalay Vision","0.45535714285714285000"
"Weed Road Pictures","0.4506253006253006290042857143"
"DreamWorks SKG","0.445753408503816899156912"
"Senator Entertainment Co","0.44444444444444444444"
"Appian Way","0.442632762352589944478750"
"Zide-Perry Productions","0.43936691327995675202"
"Wintergreen Productions","0.43579647829647829243"
"Material","0.42857142857142857143"
"Fake Empire","0.42857142857142857143"
"1492 Pictures","0.42683886094412410350"
"Genre Films","0.42642248661478321541"
"1984 Private Defense Contractors","0.41666666666666665833"
"Hopscotch Features","0.41517857142857142857"
"Fox Animation Studios","0.41509433962264150943"
"Corsan","0.41361256544502617801"
"Forge","0.41208791208791208077"
"Film4","0.411122449451404378331923"
"Angry Films","0.41025641025641025641"
"Paul Schiff Productions","0.40972222222222221667"
"First Light Production","0.40833333333333335000"
"M6 Films","0.40605413105413105413"
"Original Film","0.403993173910467145157857"
"Clinica Estetico","0.40350877192982456667"
"KMP Film Invest","0.40350877192982456140"
"Overbrook Entertainment","0.4001635401635401625300000000"
"FilmWorks","0.40000000000000000000"
"Storm King Productions","0.40000000000000000000"
"Anton Capital Entertainment (ACE)","0.39954545454545455455"
"Palomar Pictures (II)","0.39923076923076925000"
"Village Roadshow Pictures","0.394222410106872568983514"
"SLM Production Group","0.39228971962616822430"
"LStar Capital","0.39092121902232417015"
"Marubeni","0.387777777777777774920000"
"Practical Pictures","0.38750000000000000000"
"The Mirisch Corporation","0.38703565513855099159"
"Punch Productions","0.38698412698412700000"
"Gotham Group","0.38277310924369747899"
"China Film Co.","0.38157894736842105263"
"Wild Bunch","0.38140840351285990478"
"Babelsberg Film","0.38111888111888111888"
"Kennedy/Marshall Company, The","0.3801178619360437542254545455"
"Apatow Productions","0.378483648333920568835263"
"DreamWorks","0.37617924528301886793"
"Lightstorm Entertainment","0.37567546583850931677"
"Eon Productions","0.375393831253752354034286"
"Jerry Bruckheimer Films","0.3729833737662233392863157895"
"Marty Katz Productions","0.37103174603174602698"
"TF1 Films Production","0.36887732279778545921"
"Mutual Film Company","0.366256943388245420985385"
"1821 Pictures","0.36599099099099097433"
"VIP 4 Medienfonds","0.357864357864357848483333"
"Karz Entertainment","0.35730769230769230769"
"Babieka","0.35714285714285714286"
"Tribeca Productions","0.356932724372915757444545"
"Imprint Entertainment","0.35567567567567567568"
"Screen Gems","0.35517541445749020291"
"Rainforest Films","0.35496794871794870000"
"Mandate Pictures","0.35461432506887052039"
"Parkes/MacDonald Productions","0.35365123604254038964"
"Laurence Mark Productions","0.34927355116011973455"
"Stonebridge Entertainment","0.34615384615384615385"
"WV Films II","0.34444444444444444445"
"Temple Hill Entertainment","0.339750280057185424325556"
"Renaissance Films","0.33796296296296296296"
"Degeto Film","0.33784145459460507644"
"Happy Madison Productions","0.337627764502639175506800"
"Interscope Communications","0.33437251154642458157"
"Alcon Entertainment","0.33387865623859469332"
"Twins Financing","0.33333333333333333333"
"NPV Entertainment","0.331637655062024812004762"
"ApolloMedia Distribution","0.325000000000000000000000"
"Hollywood Pictures","0.32384847229362036999"
"Chockstone Pictures","0.32342171717171716061"
"Smokehouse Pictures","0.32227300761451422878"
"Tequila Gang","0.31578947368421052632"
"EuropaCorp","0.308676186957137706068182"
"Troublemaker Studios","0.30641381411030701524"
"Red Wagon Entertainment","0.3060006526882597699266666667"
